Location 1,Opened Datetime,Resolved Datetime,Duration
IDF/Server Room (2.24/2.25),2024-02-29 19:54:15,2024-02-29 19:57:37,0.05608166666666667
IDF/Server Room (9.44),2024-02-29 16:35:28,2024-02-29 20:04:23,3.4819280555555556
Book 1 Warehouse (8.72),2024-02-26 13:23:13,2024-02-26 15:22:18,1.9846988888888888
Book 4 Warehouse (8.77),2024-02-26 14:07:31,2024-02-26 15:20:05,1.2092383333333334
Book 6 Warehouse (1.58),2024-02-26 14:07:50,2024-02-26 15:11:18,1.0577077777777777
Book 5 Warehouse (7.00-7.03),2024-02-26 14:07:41,2024-02-26 15:13:58,1.1047994444444444
"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2024-02-26 14:07:23,2024-02-26 15:14:21,1.1158702777777778
"Book 7 Warehouse (1.02,1.08,5.29)",2024-02-26 14:07:57,2024-02-26 15:09:43,1.029441111111111
"Book 2 Warehouse (8.71,8.46,8.47)",2024-02-26 14:07:15,2024-02-26 15:23:24,1.2693747222222223
"Book 2 Warehouse (8.71,8.46,8.47)",2024-02-26 04:59:59,2024-02-26 15:24:05,10.401597777777777
Book 4 Warehouse (8.77),2024-02-25 14:07:31,2024-02-26 15:20:05,25.20923833333333
"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2024-02-25 14:07:23,2024-02-26 15:14:21,25.115870277777777
Book 6 Warehouse (1.58),2024-02-25 14:07:50,2024-02-26 15:11:18,25.05770777777778
Book 5 Warehouse (7.00-7.03),2024-02-25 14:07:41,2024-02-26 15:13:58,25.104799444444446
"Book 7 Warehouse (1.02,1.08,5.29)",2024-02-25 14:07:57,2024-02-26 15:09:43,25.02944111111111
"Book 2 Warehouse (8.71,8.46,8.47)",2024-02-25 14:07:15,2024-02-26 15:23:24,25.26937472222222
Book 1 Warehouse (8.72),2024-02-25 13:23:13,2024-02-26 15:21:32,25.971876388888887
Book 5 Warehouse (7.00-7.03),2024-02-19 14:07:41,2024-02-19 14:54:21,0.7779302777777778
"Book 7 Warehouse (1.02,1.08,5.29)",2024-02-19 14:07:57,2024-02-19 14:51:51,0.7317686111111111
"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2024-02-19 14:07:23,2024-02-19 14:54:44,0.7890105555555555
"Book 2 Warehouse (8.71,8.46,8.47)",2024-02-19 14:07:15,2024-02-19 14:59:28,0.8704636111111111
Book 6 Warehouse (1.58),2024-02-19 14:07:50,2024-02-19 14:52:36,0.7461766666666667
Book 4 Warehouse (8.77),2024-02-19 14:07:31,2024-02-19 14:57:12,0.8279022222222222
Book 1 Warehouse (8.72),2024-02-19 13:23:13,2024-02-19 14:58:29,1.5878075
"Book 7 Warehouse (1.02,1.08,5.29)",2024-02-18 14:07:57,2024-02-19 14:51:51,24.73176861111111
"Book 2 Warehouse (8.71,8.46,8.47)",2024-02-18 14:07:15,2024-02-19 14:59:28,24.870463611111113
Book 5 Warehouse (7.00-7.03),2024-02-18 14:07:41,2024-02-19 14:54:21,24.777930277777777
Book 6 Warehouse (1.58),2024-02-18 14:07:50,2024-02-19 14:52:36,24.746176666666667
"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2024-02-18 14:07:23,2024-02-19 14:54:44,24.789010555555556
Book 4 Warehouse (8.77),2024-02-18 14:07:31,2024-02-19 14:57:12,24.82790222222222
Book 1 Warehouse (8.72),2024-02-18 13:23:13,2024-02-19 14:58:29,25.5878075
Book 5 Warehouse (7.00-7.03),2024-02-12 14:07:41,2024-02-12 15:01:47,0.9017386111111111
"Book 7 Warehouse (1.02,1.08,5.29)",2024-02-12 14:07:57,2024-02-12 14:56:57,0.8165525
"Book 2 Warehouse (8.71,8.46,8.47)",2024-02-12 14:07:15,2024-02-12 15:09:02,1.02978
"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2024-02-12 14:07:23,2024-02-12 15:02:15,0.9142169444444445
Book 4 Warehouse (8.77),2024-02-12 14:07:31,2024-02-12 15:06:27,0.9820583333333334
Book 6 Warehouse (1.58),2024-02-12 14:07:50,2024-02-12 14:57:52,0.8339344444444444
Book 1 Warehouse (8.72),2024-02-12 13:23:13,2024-02-12 15:07:55,1.7451269444444444
"Book 2 Warehouse (8.71,8.46,8.47)",2024-02-11 14:07:15,2024-02-12 15:09:02,25.02978
