floorsRef,_id,title,location,zone,deviceUUID,rawLocation,rawZone,user,uid,application,role,created,timezone,rawDistance,createdAt,updatedAt,sequenceId,search,__v,gps.movementType.confidence,gps.movementType.type,gps.reverseGeocoded.houseNumber,gps.reverseGeocoded.road,gps.reverseGeocoded.county,gps.reverseGeocoded.state,gps.reverseGeocoded.postcode,gps.reverseGeocoded.country,gps.reverseGeocoded.countryCode,gps.reverseGeocoded.label,gps.reverseGeocoded.shortLabel,gps.floorsRef,gps.geometry.coordinates,gps.geometry.type,entry.formGroups,entry.relations,entry.summaryFields,area.location.center.type,area.location.center.coordinates,area.location.name,area.location.id,area.point.center.coordinates,area.point.center.type,area.point.name,area.point.id,area.ids,area.floorsRef,area.label,area.shortLabel,area.center.coordinates,area.center.type,area.location-group,files.pdf.path,files.pdf.timestamp,rawGps.movementType.confidence,rawGps.movementType.type,rawGps.floorsRef,rawGps.geometry.coordinates,rawGps.geometry.properties.movementType.confidence,rawGps.geometry.properties.movementType.type,rawGps.geometry.type,task._id,task.name
[],65e0e347d8fc002a8df05c09,IDF/Server Room Tasks,648a2d470854666c3a9067d8,64baf17e836cd935de08c86a,F6B1B682-DC40-4E48-B3C6-51F031BA1747,648a2d470854666c3a9067d8,64baf17e836cd935de08c86a,64b157f4f6f8cdfe96966d68,clt7nm6ii002b0b2mjniusnns,64788f940b7634da94ffdcbd,64788f940b763433c9ffdcc2,2024-02-29T20:04:23.433Z,America/New_York,0.027144023138778686,2024-02-29T20:04:23.501Z,2024-02-29T20:04:25.216Z,00002224,IDF/Server Room Tasks 00002224,0,100,on_foot,3612,Powhatan Road,Johnston County,North Carolina,27527,USA,us,"Powhatan Road, North Carolina","Powhatan Road, North Carolina",[],"[-78.40997513520053, 35.6200378007629]",Point,"[{'repeatable': 1, '_id': '64b99f270a92a5333e203675', 'fieldGroups': [{'_id': '64b99f270a92a5a806203676', 'fields': [{'validation': {'enum': []}, '_id': '64b99f270a92a5093b203677', 'label': 'Dust', 'fieldtype': 'switch', 'options': {'required': False, 'showOnRead': True, 'summary': False}, 'value': True}, {'validation': {'enum': []}, '_id': '64b99f270a92a50415203678', 'label': 'Sweep/Mop', 'fieldtype': 'switch', 'options': {'showOnRead': True, 'required': False, 'summary': False}, 'value': True}]}], 'canSkip': False, 'label': 'IDF/Server Room Tasks'}]",[],[],Point,"[-78.4103535, 35.619236]",Novo Nordisk - IFP,648a2d47085466793e9067d0,"[-78.40997513520053, 35.6200378007629]",Point,IDF/Server Room (9.44),64baf17e836cd93fba08c834,"['648a2d47085466793e9067d0', '64baf17e836cd93fba08c834']",[],IDF/Server Room (9.44) - Novo Nordisk - IFP,IDF/Server Room (9.44),"[-78.40997513520053, 35.6200378007629]",Point,[],64788f940b7634da94ffdcbd/pdfs/2024-02-29/1709237064557-task-65e0e347d8fc002a8df05c09.pdf,2024-02-29T20:04:25.216Z,100,on_foot,[],"[-78.41013453250216, 35.62024468541415]",100,on_foot,Point,64b99f270a92a54428203674,IDF/Server Room Tasks
[],65e0e1b1d8fc001837ee7d04,IDF/Server Room Tasks,648a2d470854666c3a9067d8,64be9eb64f3c586a3d228990,F6B1B682-DC40-4E48-B3C6-51F031BA1747,648a2d470854666c3a9067d8,64be9eb64f3c586a3d228990,64b157f4f6f8cdfe96966d68,clt7ndhgn00290b2mtw0aygs8,64788f940b7634da94ffdcbd,64788f940b763433c9ffdcc2,2024-02-29T19:57:37.574Z,America/New_York,0.028031418543886678,2024-02-29T19:57:37.586Z,2024-02-29T19:57:39.104Z,00002223,IDF/Server Room Tasks 00002223,0,100,on_foot,3612,Powhatan Road,Johnston County,North Carolina,27527,USA,us,"Powhatan Road, North Carolina","Powhatan Road, North Carolina",[],"[-78.41074742278353, 35.61805011898424]",Point,"[{'repeatable': 1, '_id': '64b99f270a92a5333e203675', 'fieldGroups': [{'_id': '64b99f270a92a5a806203676', 'fields': [{'validation': {'enum': []}, '_id': '64b99f270a92a5093b203677', 'label': 'Dust', 'fieldtype': 'switch', 'options': {'required': False, 'showOnRead': True, 'summary': False}, 'value': True}, {'validation': {'enum': []}, '_id': '64b99f270a92a50415203678', 'label': 'Sweep/Mop', 'fieldtype': 'switch', 'options': {'showOnRead': True, 'required': False, 'summary': False}, 'value': True}]}], 'canSkip': False, 'label': 'IDF/Server Room Tasks'}]",[],[],Point,"[-78.4103535, 35.619236]",Novo Nordisk - IFP,648a2d47085466793e9067d0,"[-78.41074742278353, 35.61805011898424]",Point,IDF/Server Room (2.24/2.25),64be9eb54f3c586e8a228858,"['648a2d47085466793e9067d0', '64be9eb54f3c586e8a228858']",[],IDF/Server Room (2.24/2.25) - Novo Nordisk - IFP,IDF/Server Room (2.24/2.25),"[-78.41074742278353, 35.61805011898424]",Point,[],64788f940b7634da94ffdcbd/pdfs/2024-02-29/1709236658419-task-65e0e1b1d8fc001837ee7d04.pdf,2024-02-29T19:57:39.104Z,100,on_foot,[],"[-78.41044597402372, 35.61799096218983]",100,on_foot,Point,64b99f270a92a54428203674,IDF/Server Room Tasks
[],65e0948dd8fc005a7289abec,IDF/Server Room Tasks,648a2d470854666c3a9067d8,64baeccb51f8f11196bc9f15,F6B1B682-DC40-4E48-B3C6-51F031BA1747,648a2d470854666c3a9067d8,64baeccb51f8f11196bc9f15,64b157f4f6f8cdfe96966d68,clt7bm7s500270b2mw9shquue,64788f940b7634da94ffdcbd,64788f940b763433c9ffdcc2,2024-02-29T14:28:29.935Z,America/New_York,0.016721950989235557,2024-02-29T14:28:30.076Z,2024-02-29T14:28:31.859Z,00002222,IDF/Server Room Tasks 00002222,0,100,on_foot,3612,Powhatan Road,Johnston County,North Carolina,27527,USA,us,"Powhatan Road, North Carolina","Powhatan Road, North Carolina",[],"[-78.41108143329622, 35.61822798593868]",Point,"[{'repeatable': 1, '_id': '64b99f270a92a5333e203675', 'fieldGroups': [{'_id': '64b99f270a92a5a806203676', 'fields': [{'validation': {'enum': []}, '_id': '64b99f270a92a5093b203677', 'label': 'Dust', 'fieldtype': 'switch', 'options': {'required': False, 'showOnRead': True, 'summary': False}, 'value': True}, {'validation': {'enum': []}, '_id': '64b99f270a92a50415203678', 'label': 'Sweep/Mop', 'fieldtype': 'switch', 'options': {'showOnRead': True, 'required': False, 'summary': False}, 'value': True}]}], 'canSkip': False, 'label': 'IDF/Server Room Tasks'}]",[],[],Point,"[-78.4103535, 35.619236]",Novo Nordisk - IFP,648a2d47085466793e9067d0,"[-78.41108143329622, 35.61822798593868]",Point,IDF/Server Room (1.92),64baecca51f8f13651bc9d4f,"['648a2d47085466793e9067d0', '64baecca51f8f13651bc9d4f']",[],IDF/Server Room (1.92) - Novo Nordisk - IFP,IDF/Server Room (1.92),"[-78.41108143329622, 35.61822798593868]",Point,[],64788f940b7634da94ffdcbd/pdfs/2024-02-29/1709216911085-task-65e0948dd8fc005a7289abec.pdf,2024-02-29T14:28:31.859Z,100,on_foot,[],"[-78.4112484951657, 35.61816339713522]",100,on_foot,Point,64b99f270a92a54428203674,IDF/Server Room Tasks
[],65e093e2d8fc0022ae88b40e,IDF/Server Room Tasks,648a2d470854666c3a9067d8,64baec1994b97f0c7e941116,F6B1B682-DC40-4E48-B3C6-51F031BA1747,648a2d470854666c3a9067d8,64baec1994b97f0c7e941116,64b157f4f6f8cdfe96966d68,clt7bijra00230b2mm0xk9xya,64788f940b7634da94ffdcbd,64788f940b763433c9ffdcc2,2024-02-29T14:25:38.774Z,America/New_York,0.015305709077005682,2024-02-29T14:25:39.008Z,2024-02-29T14:25:40.968Z,00002220,IDF/Server Room Tasks 00002220,0,100,on_foot,3612,Powhatan Road,Johnston County,North Carolina,27527,USA,us,"Powhatan Road, North Carolina","Powhatan Road, North Carolina",[],"[-78.41074477415533, 35.618627695029964]",Point,"[{'repeatable': 1, '_id': '64b99f270a92a5333e203675', 'fieldGroups': [{'_id': '64b99f270a92a5a806203676', 'fields': [{'validation': {'enum': []}, '_id': '64b99f270a92a5093b203677', 'label': 'Dust', 'fieldtype': 'switch', 'options': {'required': False, 'showOnRead': True, 'summary': False}, 'value': True}, {'validation': {'enum': []}, '_id': '64b99f270a92a50415203678', 'label': 'Sweep/Mop', 'fieldtype': 'switch', 'options': {'showOnRead': True, 'required': False, 'summary': False}, 'value': True}]}], 'canSkip': False, 'label': 'IDF/Server Room Tasks'}]",[],[],Point,"[-78.4103535, 35.619236]",Novo Nordisk - IFP,648a2d47085466793e9067d0,"[-78.41074477415533, 35.618627695029964]",Point,IDF/Server Room (1.53),64baec1994b97f4bf19410e5,"['648a2d47085466793e9067d0', '64baec1994b97f4bf19410e5']",[],IDF/Server Room (1.53) - Novo Nordisk - IFP,IDF/Server Room (1.53),"[-78.41074477415533, 35.618627695029964]",Point,[],64788f940b7634da94ffdcbd/pdfs/2024-02-29/1709216740329-task-65e093e2d8fc0022ae88b40e.pdf,2024-02-29T14:25:40.968Z,100,on_foot,[],"[-78.41071187706324, 35.618762719617806]",100,on_foot,Point,64b99f270a92a54428203674,IDF/Server Room Tasks
[],65e09315d8fc00f3b0878b5b,IDF/Server Room Tasks,648a2d470854666c3a9067d8,64baec8751f8f134b4bc4362,F6B1B682-DC40-4E48-B3C6-51F031BA1747,648a2d470854666c3a9067d8,64baec8751f8f134b4bc4362,64b157f4f6f8cdfe96966d68,clt7be5cc001x0b2m38vd42mi,64788f940b7634da94ffdcbd,64788f940b763433c9ffdcc2,2024-02-29T14:22:13.199Z,America/New_York,0.005078648994342974,2024-02-29T14:22:13.238Z,2024-02-29T14:22:14.730Z,00002217,IDF/Server Room Tasks 00002217,0,100,still,3612,Powhatan Road,Johnston County,North Carolina,27527,USA,us,"Powhatan Road, North Carolina","Powhatan Road, North Carolina",[],"[-78.41028749942781, 35.61856375617043]",Point,"[{'repeatable': 1, '_id': '64b99f270a92a5333e203675', 'fieldGroups': [{'_id': '64b99f270a92a5a806203676', 'fields': [{'validation': {'enum': []}, '_id': '64b99f270a92a5093b203677', 'label': 'Dust', 'fieldtype': 'switch', 'options': {'required': False, 'showOnRead': True, 'summary': False}, 'value': True}, {'validation': {'enum': []}, '_id': '64b99f270a92a50415203678', 'label': 'Sweep/Mop', 'fieldtype': 'switch', 'options': {'showOnRead': True, 'required': False, 'summary': False}, 'value': True}]}], 'canSkip': False, 'label': 'IDF/Server Room Tasks'}]",[],[],Point,"[-78.4103535, 35.619236]",Novo Nordisk - IFP,648a2d47085466793e9067d0,"[-78.41028749942781, 35.61856375617043]",Point,IDF/Server Room (1.68),64baec8751f8f11370bc4355,"['648a2d47085466793e9067d0', '64baec8751f8f11370bc4355']",[],IDF/Server Room (1.68) - Novo Nordisk - IFP,IDF/Server Room (1.68),"[-78.41028749942781, 35.61856375617043]",Point,[],64788f940b7634da94ffdcbd/pdfs/2024-02-29/1709216534012-task-65e09315d8fc00f3b0878b5b.pdf,2024-02-29T14:22:14.730Z,100,still,[],"[-78.41034252571012, 35.618572983462364]",100,still,Point,64b99f270a92a54428203674,IDF/Server Room Tasks
[],65e09195d8fc00fd72858430,IDF/Server Room Tasks,648a2d470854666c3a9067d8,64baef6051f8f1d9d8bfb3b6,F6B1B682-DC40-4E48-B3C6-51F031BA1747,648a2d470854666c3a9067d8,64baef6051f8f1d9d8bfb3b6,64b157f4f6f8cdfe96966d68,clt7b5xle001r0b2mc0bdadky,64788f940b7634da94ffdcbd,64788f940b763433c9ffdcc2,2024-02-29T14:15:49.966Z,America/New_York,0.020317907784402758,2024-02-29T14:15:49.989Z,2024-02-29T14:15:51.440Z,00002214,IDF/Server Room Tasks 00002214,0,100,on_foot,3612,Powhatan Road,Johnston County,North Carolina,27527,USA,us,"Powhatan Road, North Carolina","Powhatan Road, North Carolina",[],"[-78.41036260128023, 35.6193577184542]",Point,"[{'repeatable': 1, '_id': '64b99f270a92a5333e203675', 'fieldGroups': [{'_id': '64b99f270a92a5a806203676', 'fields': [{'validation': {'enum': []}, '_id': '64b99f270a92a5093b203677', 'label': 'Dust', 'fieldtype': 'switch', 'options': {'required': False, 'showOnRead': True, 'summary': False}, 'value': True}, {'validation': {'enum': []}, '_id': '64b99f270a92a50415203678', 'label': 'Sweep/Mop', 'fieldtype': 'switch', 'options': {'showOnRead': True, 'required': False, 'summary': False}, 'value': True}]}], 'canSkip': False, 'label': 'IDF/Server Room Tasks'}]",[],[],Point,"[-78.4103535, 35.619236]",Novo Nordisk - IFP,648a2d47085466793e9067d0,"[-78.41036260128023, 35.6193577184542]",Point,IDF/Server Room (7.14),64baef6051f8f1bd83bfb370,"['648a2d47085466793e9067d0', '64baef6051f8f1bd83bfb370']",[],IDF/Server Room (7.14) - Novo Nordisk - IFP,IDF/Server Room (7.14),"[-78.41036260128023, 35.6193577184542]",Point,[],64788f940b7634da94ffdcbd/pdfs/2024-02-29/1709216150692-task-65e09195d8fc00fd72858430.pdf,2024-02-29T14:15:51.440Z,100,on_foot,[],"[-78.41019115999772, 35.61947589232382]",100,on_foot,Point,64b99f270a92a54428203674,IDF/Server Room Tasks
[],65e09116d8fc00473f84d5dd,IDF/Server Room Tasks,648a2d470854666c3a9067d8,64baef9c51f8f1484fbffd93,F6B1B682-DC40-4E48-B3C6-51F031BA1747,648a2d470854666c3a9067d8,64baef9c51f8f1484fbffd93,64b157f4f6f8cdfe96966d68,clt7b37bc001p0b2moxil0c25,64788f940b7634da94ffdcbd,64788f940b763433c9ffdcc2,2024-02-29T14:13:42.909Z,America/New_York,0.02094900080530746,2024-02-29T14:13:43.060Z,2024-02-29T14:13:44.961Z,00002213,IDF/Server Room Tasks 00002213,0,100,on_foot,3612,Powhatan Road,Johnston County,North Carolina,27527,USA,us,"Powhatan Road, North Carolina","Powhatan Road, North Carolina",[],"[-78.4103035926819, 35.61968263706153]",Point,"[{'repeatable': 1, '_id': '64b99f270a92a5333e203675', 'fieldGroups': [{'_id': '64b99f270a92a5a806203676', 'fields': [{'validation': {'enum': []}, '_id': '64b99f270a92a5093b203677', 'label': 'Dust', 'fieldtype': 'switch', 'options': {'required': False, 'showOnRead': True, 'summary': False}, 'value': True}, {'validation': {'enum': []}, '_id': '64b99f270a92a50415203678', 'label': 'Sweep/Mop', 'fieldtype': 'switch', 'options': {'showOnRead': True, 'required': False, 'summary': False}, 'value': True}]}], 'canSkip': False, 'label': 'IDF/Server Room Tasks'}]",[],[],Point,"[-78.4103535, 35.619236]",Novo Nordisk - IFP,648a2d47085466793e9067d0,"[-78.4103035926819, 35.61968263706153]",Point,IDF/Server Room (8.07),64baef9a51f8f1f742bff9e6,"['648a2d47085466793e9067d0', '64baef9a51f8f1f742bff9e6']",[],IDF/Server Room (8.07) - Novo Nordisk - IFP,IDF/Server Room (8.07),"[-78.4103035926819, 35.61968263706153]",Point,[],64788f940b7634da94ffdcbd/pdfs/2024-02-29/1709216024286-task-65e09116d8fc00473f84d5dd.pdf,2024-02-29T14:13:44.961Z,100,on_foot,[],"[-78.41013493232356, 35.61981185212195]",100,on_foot,Point,64b99f270a92a54428203674,IDF/Server Room Tasks
[],65e09056d8fc00745b83c0b4,IDF/Server Room Tasks,648a2d470854666c3a9067d8,64baf00d51f8f12247c09007,F6B1B682-DC40-4E48-B3C6-51F031BA1747,648a2d470854666c3a9067d8,64baf00d51f8f12247c09007,64b157f4f6f8cdfe96966d68,clt7az2yt001j0b2msomzjv6y,64788f940b7634da94ffdcbd,64788f940b763433c9ffdcc2,2024-02-29T14:10:30.282Z,America/New_York,0.027237249601975162,2024-02-29T14:10:30.305Z,2024-02-29T14:10:31.812Z,00002210,IDF/Server Room Tasks 00002210,0,100,on_foot,3612,Powhatan Road,Johnston County,North Carolina,27527,USA,us,"Powhatan Road, North Carolina","Powhatan Road, North Carolina",[],"[-78.40941846370697, 35.61978952805411]",Point,"[{'repeatable': 1, '_id': '64b99f270a92a5333e203675', 'fieldGroups': [{'_id': '64b99f270a92a5a806203676', 'fields': [{'validation': {'enum': []}, '_id': '64b99f270a92a5093b203677', 'label': 'Dust', 'fieldtype': 'switch', 'options': {'required': False, 'showOnRead': True, 'summary': False}, 'value': True}, {'validation': {'enum': []}, '_id': '64b99f270a92a50415203678', 'label': 'Sweep/Mop', 'fieldtype': 'switch', 'options': {'showOnRead': True, 'required': False, 'summary': False}, 'value': True}]}], 'canSkip': False, 'label': 'IDF/Server Room Tasks'}]",[],[],Point,"[-78.4103535, 35.619236]",Novo Nordisk - IFP,648a2d47085466793e9067d0,"[-78.40941846370697, 35.61978952805411]",Point,IDF/Server Room (8.68),64baf00b51f8f13b11c08db3,"['648a2d47085466793e9067d0', '64baf00b51f8f13b11c08db3']",[],IDF/Server Room (8.68) - Novo Nordisk - IFP,IDF/Server Room (8.68),"[-78.40941846370697, 35.61978952805411]",Point,[],64788f940b7634da94ffdcbd/pdfs/2024-02-29/1709215831180-task-65e09056d8fc00745b83c0b4.pdf,2024-02-29T14:10:31.812Z,100,on_foot,[],"[-78.40968961696619, 35.61968268539394]",100,on_foot,Point,64b99f270a92a54428203674,IDF/Server Room Tasks
[],65e0901b8a3c2d40671d5a48,IDF/Server Room Tasks,648a2d470854666c3a9067d8,64baf02394b97f048095edf2,F6B1B682-DC40-4E48-B3C6-51F031BA1747,648a2d470854666c3a9067d8,64baf02394b97f048095edf2,64b157f4f6f8cdfe96966d68,clt7axtvj001h0b2m57aoj3vj,64788f940b7634da94ffdcbd,64788f940b763433c9ffdcc2,2024-02-29T14:09:31.873Z,America/New_York,0.0228985787813902,2024-02-29T14:09:31.963Z,2024-02-29T14:09:33.807Z,00002209,IDF/Server Room Tasks 00002209,0,100,on_foot,,Powhatan Road,Johnston County,North Carolina,27527,USA,us,"Powhatan Road, North Carolina","Powhatan Road, North Carolina",[],"[-78.40926289558412, 35.62003151663036]",Point,"[{'repeatable': 1, '_id': '64b99f270a92a5333e203675', 'fieldGroups': [{'_id': '64b99f270a92a5a806203676', 'fields': [{'validation': {'enum': []}, '_id': '64b99f270a92a5093b203677', 'label': 'Dust', 'fieldtype': 'switch', 'options': {'required': False, 'showOnRead': True, 'summary': False}, 'value': True}, {'validation': {'enum': []}, '_id': '64b99f270a92a50415203678', 'label': 'Sweep/Mop', 'fieldtype': 'switch', 'options': {'showOnRead': True, 'required': False, 'summary': False}, 'value': True}]}], 'canSkip': False, 'label': 'IDF/Server Room Tasks'}]",[],[],Point,"[-78.4103535, 35.619236]",Novo Nordisk - IFP,648a2d47085466793e9067d0,"[-78.40926289558412, 35.62003151663036]",Point,IDF/Server Room (8.74),64baf02294b97f64e595ed9d,"['648a2d47085466793e9067d0', '64baf02294b97f64e595ed9d']",[],IDF/Server Room (8.74) - Novo Nordisk - IFP,IDF/Server Room (8.74),"[-78.40926289558412, 35.62003151663036]",Point,[],64788f940b7634da94ffdcbd/pdfs/2024-02-29/1709215773007-task-65e0901b8a3c2d40671d5a48.pdf,2024-02-29T14:09:33.807Z,100,on_foot,[],"[-78.40935030783812, 35.620224800634944]",100,on_foot,Point,64b99f270a92a54428203674,IDF/Server Room Tasks
[],65e08ef1d8fc002f9d8207e7,IDF/Server Room Tasks,648a2d470854666c3a9067d8,64baefbd51f8f12986c028c6,F6B1B682-DC40-4E48-B3C6-51F031BA1747,648a2d470854666c3a9067d8,64baefbd51f8f12986c028c6,64b157f4f6f8cdfe96966d68,clt7arfxg001d0b2mqzyap2q2,64788f940b7634da94ffdcbd,64788f940b763433c9ffdcc2,2024-02-29T14:04:33.896Z,America/New_York,0.024431930904386844,2024-02-29T14:04:33.913Z,2024-02-29T14:04:35.438Z,00002207,IDF/Server Room Tasks 00002207,0,33,still,3612,Powhatan Road,Johnston County,North Carolina,27527,USA,us,"Powhatan Road, North Carolina","Powhatan Road, North Carolina",[],"[-78.4101238846779, 35.62015585051709]",Point,"[{'repeatable': 1, '_id': '64b99f270a92a5333e203675', 'fieldGroups': [{'_id': '64b99f270a92a5a806203676', 'fields': [{'validation': {'enum': []}, '_id': '64b99f270a92a5093b203677', 'label': 'Dust', 'fieldtype': 'switch', 'options': {'required': False, 'showOnRead': True, 'summary': False}, 'value': True}, {'validation': {'enum': []}, '_id': '64b99f270a92a50415203678', 'label': 'Sweep/Mop', 'fieldtype': 'switch', 'options': {'showOnRead': True, 'required': False, 'summary': False}, 'value': True}]}], 'canSkip': False, 'label': 'IDF/Server Room Tasks'}]",[],[],Point,"[-78.4103535, 35.619236]",Novo Nordisk - IFP,648a2d47085466793e9067d0,"[-78.4101238846779, 35.62015585051709]",Point,IDF/Server Room (8.33),64baefbc51f8f1978fc02880,"['648a2d47085466793e9067d0', '64baefbc51f8f1978fc02880']",[],IDF/Server Room (8.33) - Novo Nordisk - IFP,IDF/Server Room (8.33),"[-78.4101238846779, 35.62015585051709]",Point,[],64788f940b7634da94ffdcbd/pdfs/2024-02-29/1709215474523-task-65e08ef1d8fc002f9d8207e7.pdf,2024-02-29T14:04:35.438Z,33,still,[],"[-78.41025446048415, 35.620348232497214]",33,still,Point,64b99f270a92a54428203674,IDF/Server Room Tasks
